url_name,id,item_name,thumb,vaulted
ancient_fusion_core,54aaf526e779896a8c2ecfd8,Ancient Fusion Core,items/images/en/thumbs/ancient_fusion_core.56573fb5c196b5426c5e68bcfbbb4ba6.128x128.png,False
anemic_agility,54dd27f0e7798934fcf60799,Anemic Agility,items/images/en/thumbs/anemic_agility.93c78266ad510a79aa159112aadd754b.128x128.png,False
animal_instinct,559dacd3e779897ba8819969,Animal Instinct,items/images/en/thumbs/animal_instinct.934c4722d6e4f4013aa14bc75a2d84b0.128x128.png,False
ankyros_prime_gauntlet,54a73e65e779893a797fff26,Ankyros Prime Gauntlet,sub_icons/weapon/prime_gauntlet_128x128.png,False
ankyros_prime_set,56783f24cbfa8f0432dd898e,Ankyros Prime Set,items/images/en/thumbs/ankyros_prime_set.81b3e5876c214047d10a0d90f92ebdfe.128x128.png,False
anti_flak_plating,56dac5985cc639de0a45c524,Anti-Flak Plating,items/images/en/thumbs/anti_flak_plating.cf4a771790c289975365c7dd23e51cde.128x128.png,False
anti_grav_array,5ce7fd86d23a3b00908c420b,Anti-Grav Array,items/images/en/thumbs/anti_grav_array.a0f52669da4796b20b416d0bf9b64c0d.128x128.png,False
anti_grav_grenade,5ce7fd85d23a3b00908c4205,Anti-Grav Grenade,items/images/en/thumbs/anti_grav_grenade.08aa82d4bc0f4921a12b4e0b8e8979f6.128x128.png,False
anticipation,567af35fcbfa8f05d076a4c9,Anticipation,items/images/en/thumbs/anticipation.881bb001c85c0b9000f0f9171738053b.128x128.png,False
antimatter_absorb,54e644ffe779897594fa68cf,Antimatter Absorb,items/images/en/thumbs/antimatter_absorb.1402d671df9b6f5ae2504d6abec4d4fd.128x128.png,False
antimatter_mine,56dac57b5cc639de0a45c51e,Antimatter Mine,items/images/en/thumbs/antimatter_mine.384adc9bfe518c61363ea6c5640c89ee.128x128.png,False
antitoxin,54a74454e779892d5e51563b,Antitoxin,items/images/en/thumbs/antitoxin.a03872dae3e9b75b7f278d6f9007816c.128x128.png,False
apex_predator,567af35fcbfa8f05d076a4ca,Apex Predator,items/images/en/thumbs/apex_predator.2d037a2722b651e3cb5e86c1cc234a6e.128x128.png,False
